               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11068,            0.061297,            0.040804,             0.70887,            0.074617,            0.058396,             0.01496,            0.093651,            0.066301,            0.025771,              0.0028,              0.0028,              0.0748
                   1,            0.094594,             0.05489,            0.023315,             0.59308,             0.19352,            0.079979,            0.021927,             0.10037,            0.044238,            0.015247,           0.0055119,           0.0055119,            0.048512
                   2,            0.098065,            0.040962,            0.015121,             0.65768,             0.20909,             0.17023,            0.047452,             0.10025,            0.044094,           0.0091098,           0.0080324,           0.0080324,            0.022032
                   3,            0.094484,            0.041228,            0.013048,              0.6545,             0.22581,             0.18944,            0.061801,            0.089991,            0.051056,           0.0071125,             0.00901,             0.00901,             0.00901
                   4,            0.083216,            0.041186,            0.011306,             0.46971,             0.24616,             0.26231,            0.072863,             0.07447,            0.045726,            0.005959,             0.00901,             0.00901,             0.00901
                   5,            0.071004,            0.043775,           0.0093941,             0.54813,             0.36529,              0.3628,             0.13867,            0.075797,             0.05619,           0.0046527,             0.00868,             0.00868,             0.00868
                   6,            0.065412,            0.042118,           0.0075176,             0.35142,             0.62851,             0.47966,             0.21596,            0.057603,            0.046462,           0.0042033,             0.00835,             0.00835,             0.00835
                   7,            0.061061,             0.04135,             0.00684,             0.58719,             0.55227,             0.52356,             0.19113,            0.063315,             0.04169,           0.0041125,             0.00802,             0.00802,             0.00802
                   8,            0.058982,            0.041448,            0.006326,             0.65998,             0.54265,             0.56615,             0.27722,            0.049838,            0.039715,            0.003747,             0.00769,             0.00769,             0.00769
                   9,            0.055815,            0.040068,           0.0052454,             0.69987,             0.57166,             0.61001,             0.28049,            0.052575,            0.039577,           0.0034477,             0.00736,             0.00736,             0.00736
                  10,            0.053011,             0.03899,           0.0050802,             0.64434,             0.63809,             0.62911,             0.33513,            0.044661,            0.038367,           0.0033704,             0.00703,             0.00703,             0.00703
                  11,            0.051127,            0.039976,           0.0046014,             0.75345,             0.62226,             0.66831,             0.39556,            0.040843,            0.037302,           0.0031707,              0.0067,              0.0067,              0.0067
                  12,            0.045521,            0.036775,           0.0040587,              0.7512,             0.63757,             0.67503,              0.3673,            0.042889,            0.036229,           0.0030711,             0.00637,             0.00637,             0.00637
                  13,            0.046175,            0.036295,           0.0041023,             0.74309,             0.63488,             0.68742,             0.37173,            0.039568,            0.036078,           0.0029702,             0.00604,             0.00604,             0.00604
                  14,             0.04666,            0.035358,           0.0039451,             0.79265,              0.6247,             0.68598,             0.37292,            0.039861,            0.035622,           0.0028582,             0.00571,             0.00571,             0.00571
                  15,            0.043761,            0.035456,           0.0035677,             0.79756,             0.66214,              0.7236,             0.41558,            0.036058,            0.035441,           0.0027328,             0.00538,             0.00538,             0.00538
                  16,            0.043207,              0.0353,           0.0034094,              0.8072,             0.63323,             0.71574,             0.38447,            0.038726,            0.034892,           0.0027314,             0.00505,             0.00505,             0.00505
                  17,            0.040563,            0.036003,           0.0034353,             0.79569,             0.67627,             0.71446,             0.38948,            0.036832,            0.034675,           0.0026182,             0.00472,             0.00472,             0.00472
                  18,             0.04102,            0.034463,           0.0030034,             0.82441,             0.68493,             0.72466,             0.40553,            0.036338,            0.034182,           0.0024006,             0.00439,             0.00439,             0.00439
                  19,            0.040678,            0.035327,           0.0030321,             0.83546,             0.70288,             0.74218,             0.44484,            0.033988,            0.033824,           0.0024134,             0.00406,             0.00406,             0.00406
                  20,            0.039027,            0.033956,           0.0031323,              0.8635,             0.71367,             0.75274,             0.44622,            0.034304,            0.033777,           0.0023624,             0.00373,             0.00373,             0.00373
                  21,            0.037244,            0.032364,           0.0026838,             0.87452,             0.70686,             0.74892,              0.4561,            0.034347,            0.033404,           0.0022278,              0.0034,              0.0034,              0.0034
                  22,            0.036805,            0.032379,           0.0028136,             0.83515,             0.69459,             0.74316,             0.46258,            0.032848,            0.033254,           0.0021741,             0.00307,             0.00307,             0.00307
                  23,            0.036529,            0.032241,           0.0026798,             0.78595,             0.71275,             0.74758,             0.46054,            0.031559,            0.032491,           0.0020884,             0.00274,             0.00274,             0.00274
                  24,            0.034497,            0.033199,           0.0026354,             0.83406,             0.69076,             0.73633,             0.47613,            0.030882,            0.032167,           0.0019854,             0.00241,             0.00241,             0.00241
                  25,            0.033978,            0.031529,            0.002406,             0.84416,             0.70504,             0.74752,             0.47311,            0.030326,            0.032047,            0.001977,             0.00208,             0.00208,             0.00208
                  26,            0.033392,            0.029879,           0.0022443,             0.85034,             0.69314,             0.73479,             0.47503,            0.029984,            0.032037,           0.0019909,             0.00175,             0.00175,             0.00175
                  27,            0.032885,            0.031061,           0.0021233,             0.76599,             0.74369,             0.75092,             0.49078,            0.029651,            0.032172,           0.0019157,             0.00142,             0.00142,             0.00142
                  28,            0.032829,             0.03014,           0.0021904,             0.84186,              0.7182,             0.74684,             0.49044,            0.029181,            0.031677,           0.0018349,             0.00109,             0.00109,             0.00109
                  29,             0.03187,            0.031856,           0.0023456,             0.86382,             0.70406,             0.74666,             0.48564,            0.029298,            0.031593,           0.0017906,             0.00076,             0.00076,             0.00076
